scorer,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000
bodyparts,Nose,Nose,Nose,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Tailbase,Tailbase,Tailbase,Implant,Implant,Implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
62,345.50201416015625,665.743896484375,0.9999995231628418,365.0617370605469,647.4686279296875,0.9999997615814209,345.4052429199219,638.9052734375,0.9999997615814209,365.9000549316406,572.5653686523438,0.9999998807907104,351.8302001953125,651.39111328125,0.9999998807907104
63,345.0788269042969,665.5659790039062,0.9999992847442627,364.5362548828125,647.0076904296875,0.9999998807907104,344.78228759765625,638.5133666992188,0.9999998807907104,366.43804931640625,573.1165161132812,0.9999998807907104,351.2491455078125,650.5767211914062,0.9999998807907104
64,344.3161926269531,664.9907836914062,0.9999988079071045,363.6818542480469,646.8894653320312,0.9999996423721313,345.0126647949219,638.3663940429688,0.9999997615814209,366.7862548828125,571.118408203125,0.9999998807907104,350.7524719238281,650.2335815429688,0.9999997615814209
65,343.6832580566406,665.5617065429688,0.9999971389770508,362.8482666015625,647.185791015625,0.9999992847442627,344.8251037597656,638.360107421875,0.9999996423721313,366.7668151855469,570.8155517578125,0.9999998807907104,350.3879699707031,650.3805541992188,0.9999997615814209
66,342.70294189453125,666.4935302734375,0.9999885559082031,362.0731506347656,648.1343383789062,0.9999967813491821,344.24127197265625,639.0328369140625,0.9999992847442627,366.16387939453125,570.6735229492188,0.9999998807907104,349.84991455078125,651.26611328125,0.9999997615814209
67,337.9374084472656,671.5023803710938,0.9999960660934448,359.8022155761719,651.9805297851562,0.9999994039535522,338.8696594238281,638.9326171875,1.0,364.8013000488281,571.94091796875,0.9999997615814209,347.2452087402344,653.2842407226562,0.9999998807907104
68,337.52581787109375,672.1866455078125,0.9999908208847046,359.1376037597656,652.3961181640625,0.9999994039535522,338.6025085449219,639.6571655273438,1.0,365.9612731933594,570.810546875,0.9999996423721313,346.54632568359375,654.4414672851562,0.9999996423721313
69,335.53125,673.4325561523438,0.9999932050704956,357.959716796875,653.1695556640625,0.9999997615814209,337.810791015625,640.9334106445312,1.0,366.3248291015625,572.3329467773438,0.9999997615814209,344.2038269042969,656.2527465820312,0.9999997615814209
70,330.60333251953125,674.865478515625,0.9999990463256836,356.0560302734375,654.7498168945312,0.9999998807907104,336.5210876464844,642.2159423828125,1.0,367.2795104980469,573.6168823242188,0.9999997615814209,341.591064453125,657.6101684570312,1.0
71,330.6014404296875,674.8685302734375,0.9999990463256836,356.0481262207031,654.7601318359375,0.9999998807907104,336.5218200683594,642.2297973632812,1.0,367.1817932128906,573.5948486328125,0.9999997615814209,341.5866394042969,657.6116333007812,1.0
72,329.1087646484375,675.7052001953125,0.9999990463256836,354.6977233886719,655.1612548828125,0.9999998807907104,335.02032470703125,642.3265991210938,0.9999998807907104,367.2413024902344,573.87646484375,0.9999997615814209,339.9750061035156,657.90673828125,1.0
73,328.154541015625,676.3092041015625,0.9999990463256836,352.2474060058594,655.9918823242188,0.9999998807907104,334.5269775390625,643.526123046875,0.9999997615814209,366.1784973144531,575.1743774414062,0.9999998807907104,339.0616149902344,658.781494140625,1.0
74,328.1977844238281,676.49462890625,0.9999986886978149,351.9849853515625,656.0645751953125,0.9999997615814209,335.1187438964844,643.5616455078125,0.9999997615814209,366.4376525878906,575.581787109375,0.9999997615814209,338.5846252441406,659.1382446289062,1.0
75,328.3200378417969,676.4378051757812,0.9999988079071045,352.29644775390625,656.03955078125,0.9999998807907104,335.1610412597656,643.587646484375,0.9999997615814209,366.9753723144531,576.12109375,0.9999998807907104,338.87322998046875,658.9273681640625,1.0
76,329.0816650390625,676.607421875,0.9999985694885254,352.3619384765625,655.6438598632812,0.9999997615814209,335.4470520019531,643.5151977539062,0.9999996423721313,370.6643371582031,578.3062133789062,0.9999998807907104,339.4727478027344,659.3447265625,1.0
77,329.64410400390625,676.7310180664062,0.9999980926513672,352.6864318847656,655.9285888671875,0.9999997615814209,336.55126953125,643.4583129882812,0.9999997615814209,365.3669738769531,578.9326171875,0.9999998807907104,339.8664855957031,659.5958862304688,1.0
78,331.04144287109375,676.4611206054688,0.9999961853027344,353.3042907714844,656.21044921875,0.9999997615814209,337.27093505859375,643.8638305664062,0.9999997615814209,364.7015380859375,578.8099975585938,0.9999998807907104,340.779296875,659.7420043945312,1.0
79,331.6317138671875,676.093017578125,0.9999943971633911,353.6902160644531,656.5538940429688,0.9999996423721313,337.8984375,644.0670776367188,0.9999997615814209,364.4493408203125,578.893798828125,0.9999998807907104,341.29132080078125,659.6632080078125,1.0
80,332.761962890625,675.7764892578125,0.9999915361404419,354.5002746582031,656.0841674804688,0.9999996423721313,337.851806640625,644.14892578125,0.9999997615814209,364.0978088378906,578.8212280273438,0.9999997615814209,341.9713439941406,659.3948974609375,1.0
81,334.37030029296875,675.5733032226562,0.9999822378158569,356.36798095703125,654.8471069335938,0.9999992847442627,337.9917907714844,643.4240112304688,0.9999997615814209,362.95526123046875,578.0153198242188,0.9999998807907104,342.97198486328125,658.541259765625,1.0
82,336.6700744628906,675.2229614257812,0.9999912977218628,357.43939208984375,653.6407470703125,0.9999996423721313,337.9037780761719,642.1062622070312,1.0,361.4096984863281,577.02880859375,0.9999998807907104,343.8374938964844,658.2128295898438,0.9999998807907104
83,338.4753112792969,675.3203735351562,0.9999955892562866,358.94189453125,653.5496215820312,0.9999994039535522,338.3473205566406,642.7550659179688,1.0,360.83868408203125,576.82568359375,0.9999998807907104,344.65093994140625,658.4840698242188,0.9999996423721313
84,341.1449890136719,674.7566528320312,0.9999915361404419,359.8233947753906,652.488037109375,0.9999986886978149,338.8691711425781,642.104736328125,0.9999998807907104,360.8237609863281,576.0084838867188,1.0,345.97705078125,657.7760620117188,0.9999997615814209
85,343.7121887207031,673.165283203125,0.9999593496322632,360.7740173339844,651.3224487304688,0.9999959468841553,340.82843017578125,641.4649658203125,0.9999998807907104,360.8634948730469,575.32275390625,0.9999998807907104,347.6395568847656,656.0968017578125,0.9999997615814209
86,346.27008056640625,669.8189697265625,0.9999624490737915,363.3642578125,648.4107055664062,0.999996542930603,342.2405700683594,640.1925659179688,0.9999997615814209,360.7451477050781,574.4703369140625,0.9999998807907104,350.19268798828125,653.8779907226562,0.9999996423721313
