scorer,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000
bodyparts,Nose,Nose,Nose,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Tailbase,Tailbase,Tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
40,638.2240600585938,872.4827270507812,0.9999996423721313,616.6139526367188,903.2167358398438,0.9999996423721313,642.542236328125,904.56982421875,0.9999998807907104,677.0343627929688,986.7936401367188,0.9999996423721313
41,640.2813720703125,862.2086791992188,0.9999997615814209,618.4600830078125,895.8572387695312,0.9999997615814209,645.2340698242188,897.8701782226562,1.0,673.5503540039062,985.0674438476562,0.9999996423721313
42,641.7763061523438,854.8352661132812,1.0,620.2867431640625,887.9954833984375,0.9999998807907104,646.9408569335938,888.6754760742188,0.9999998807907104,667.030517578125,981.5032348632812,0.9999974966049194
43,642.6641845703125,847.2962646484375,1.0,622.3831787109375,879.19140625,0.9999996423721313,648.0997924804688,880.748779296875,1.0,657.6002197265625,977.3682861328125,1.0
44,643.1327514648438,838.8810424804688,1.0,623.1497802734375,872.010498046875,0.9999997615814209,649.5230102539062,874.9988403320312,0.9999996423721313,650.8154907226562,974.2067260742188,0.9999955892562866
45,646.4916381835938,831.3914184570312,1.0,624.4241943359375,861.474853515625,0.9999997615814209,649.1028442382812,865.3895263671875,1.0,645.6658325195312,971.2650756835938,0.9999994039535522
46,647.4287109375,824.1825561523438,1.0,624.5914916992188,854.1268920898438,1.0,649.8152465820312,859.47314453125,0.9999992847442627,640.836669921875,963.5973510742188,0.9999998807907104
47,647.0355224609375,813.8007202148438,0.9999998807907104,625.8272094726562,845.145751953125,0.9999997615814209,650.1441040039062,849.4973754882812,1.0,633.5213012695312,956.1885986328125,0.999996542930603
48,649.2352905273438,804.138427734375,1.0,626.4322509765625,834.870849609375,1.0,651.9100952148438,840.0936279296875,0.9999995231628418,628.4260864257812,946.8740844726562,1.0
49,648.7163696289062,794.494384765625,0.9999998807907104,625.7582397460938,825.9201049804688,0.9999998807907104,652.2723388671875,830.2066650390625,1.0,626.0478515625,935.7413330078125,0.9999994039535522
50,648.1403198242188,782.49560546875,1.0,627.254638671875,815.1813354492188,1.0,654.0410766601562,818.1175537109375,1.0,625.1887817382812,927.671875,0.9999997615814209
51,648.5277099609375,775.00146484375,1.0,628.8958740234375,804.2276611328125,1.0,654.3654174804688,806.8431396484375,0.9999995231628418,624.1538696289062,916.6487426757812,0.9999998807907104
52,648.6018676757812,764.3038940429688,0.9999996423721313,628.388916015625,795.4320068359375,0.9999998807907104,655.4017333984375,798.4078979492188,0.9999995231628418,620.81982421875,906.99462890625,0.9999818801879883
53,649.009521484375,754.6859741210938,1.0,629.6839599609375,786.5221557617188,1.0,656.0022583007812,788.455078125,1.0,619.8323974609375,895.6298217773438,0.9999972581863403
54,648.7003173828125,746.1364135742188,0.9999997615814209,629.5804443359375,776.8114624023438,0.9999998807907104,655.3651123046875,778.81005859375,0.9999997615814209,621.0076904296875,884.9285278320312,0.9999988079071045
55,648.3070068359375,734.5864868164062,0.9999996423721313,629.744140625,765.3377075195312,0.9999997615814209,655.6763916015625,768.495361328125,0.9999998807907104,620.8739624023438,877.9801635742188,0.9999942779541016
56,649.7510986328125,726.0238037109375,0.9999998807907104,629.7800903320312,754.7024536132812,1.0,654.5995483398438,758.5223388671875,0.9999996423721313,621.029052734375,869.9752197265625,0.9999988079071045
57,648.4268188476562,717.1094970703125,0.9999997615814209,629.1152954101562,747.5938110351562,0.9999998807907104,653.98388671875,750.3175048828125,0.9999997615814209,624.5062866210938,861.6847534179688,0.9999997615814209
58,647.8682250976562,706.2841186523438,1.0,628.6710205078125,738.031982421875,1.0,653.6934814453125,740.240234375,0.9999998807907104,625.8438720703125,850.4862670898438,1.0
59,647.1318359375,698.462890625,0.9999998807907104,626.6347045898438,729.7452392578125,0.9999998807907104,653.3203125,732.2958984375,0.9999995231628418,628.0640869140625,841.48681640625,0.9999998807907104
60,646.6687622070312,687.550537109375,1.0,628.07177734375,720.0664672851562,1.0,654.7677612304688,721.8150024414062,0.9999998807907104,627.9783325195312,832.7550048828125,1.0
61,645.5961303710938,679.3499145507812,1.0,626.8370361328125,713.2164306640625,0.9999998807907104,654.2440795898438,712.7271118164062,0.9999982118606567,628.2010498046875,825.6407470703125,0.9999997615814209
62,644.617919921875,671.2832641601562,1.0,627.7186889648438,704.6665649414062,1.0,654.9296264648438,704.5511474609375,0.9999998807907104,627.778076171875,815.412109375,1.0
63,643.3264770507812,662.3729248046875,1.0,627.4224853515625,695.6735229492188,0.9999998807907104,654.335205078125,694.4674682617188,0.9999991655349731,626.9304809570312,805.4506225585938,1.0
64,643.2891845703125,654.3690795898438,0.9999998807907104,627.968017578125,685.7200927734375,0.9999997615814209,653.1710205078125,686.099609375,0.9999997615814209,627.4512329101562,796.9654541015625,0.9999998807907104
65,644.2979736328125,645.6030883789062,1.0,625.9445190429688,678.4662475585938,1.0,652.4930419921875,679.4995727539062,0.9999995231628418,628.2257690429688,790.5579223632812,1.0
66,642.1641235351562,637.5355224609375,1.0,626.0179443359375,670.0526733398438,0.9999998807907104,650.5677490234375,670.3642578125,0.9999997615814209,627.525146484375,785.0110473632812,1.0
67,642.3300170898438,631.4681396484375,1.0,624.3414306640625,662.938232421875,0.9999998807907104,649.1764526367188,664.0706787109375,0.9999980926513672,627.8428955078125,778.496826171875,0.9999996423721313
68,639.141357421875,623.2647705078125,0.9999997615814209,623.6909790039062,654.3214721679688,0.9999984502792358,647.88720703125,656.6766357421875,1.0,626.908203125,770.0972290039062,1.0
69,636.3012084960938,615.8121948242188,0.9999998807907104,621.2822875976562,647.7960815429688,0.9999998807907104,646.6954345703125,648.9946899414062,0.9999997615814209,626.4326171875,761.24365234375,0.9999996423721313
70,635.3405151367188,609.184814453125,1.0,618.6973876953125,640.9064331054688,0.9999998807907104,644.0404663085938,642.1172485351562,1.0,627.0708618164062,751.6004028320312,1.0
71,634.1842651367188,598.7393798828125,0.9999998807907104,617.4107055664062,633.68017578125,0.9999990463256836,644.178466796875,633.6755981445312,0.9999998807907104,626.25,745.0105590820312,0.9999996423721313
72,633.4450073242188,591.5037841796875,0.9999997615814209,618.4552612304688,622.6251831054688,0.9999992847442627,642.6029052734375,622.4705200195312,0.9999998807907104,627.0601806640625,736.5995483398438,1.0
73,632.5302124023438,584.80859375,0.9999998807907104,616.3793334960938,617.9884643554688,0.9999995231628418,642.1654052734375,615.8267822265625,0.9999997615814209,627.3974609375,728.9325561523438,0.9999998807907104
74,630.1190185546875,576.0438232421875,1.0,616.6951293945312,606.828369140625,0.9999995231628418,641.918212890625,606.3497924804688,0.9999998807907104,624.3674926757812,718.8628540039062,0.9999998807907104
75,629.3840942382812,569.4505004882812,0.9999998807907104,614.5662841796875,600.8131713867188,0.9999997615814209,639.4735107421875,598.847900390625,0.9999992847442627,622.3712158203125,711.2213745117188,0.9999994039535522
76,629.6209106445312,561.3320922851562,1.0,612.4896850585938,593.5040283203125,1.0,638.9464111328125,592.3078002929688,0.9999998807907104,620.2449340820312,704.8218994140625,0.9999986886978149
77,626.9910278320312,552.1214599609375,1.0,609.9165649414062,583.8333129882812,0.9999998807907104,635.4340209960938,584.671875,0.9999985694885254,618.7700805664062,698.2752075195312,0.9999895095825195
78,627.9633178710938,544.6746215820312,1.0,609.2454833984375,573.6333618164062,0.9999996423721313,633.6981201171875,574.4241333007812,0.9999997615814209,618.3496704101562,689.7777709960938,0.9999996423721313
79,624.835693359375,536.2276611328125,0.9999998807907104,608.063720703125,565.9075317382812,0.9999996423721313,632.0023193359375,566.1029663085938,0.9999997615814209,619.5653076171875,680.2509765625,0.9999963045120239
80,622.2748413085938,527.69921875,0.9999997615814209,605.7485961914062,556.2880249023438,0.9999951124191284,630.3560180664062,556.98828125,0.9999997615814209,618.7293090820312,670.107666015625,0.9999970197677612
81,619.5300903320312,519.4931640625,0.9999997615814209,605.0547485351562,548.4371337890625,0.9999998807907104,629.052978515625,547.3531494140625,1.0,617.280029296875,661.9140014648438,0.9999996423721313
82,618.7611083984375,510.1827392578125,0.9999991655349731,602.8778076171875,540.8170776367188,0.9999959468841553,627.7326049804688,540.09765625,0.9999998807907104,615.0078125,654.850830078125,0.9999998807907104
83,618.60400390625,502.46990966796875,0.9999998807907104,602.588134765625,533.1047973632812,0.9999997615814209,627.0091552734375,531.1726684570312,1.0,616.7015380859375,645.8141479492188,0.9999998807907104
84,616.8052368164062,494.6612854003906,0.9999996423721313,601.7649536132812,525.3179321289062,0.9999980926513672,626.36328125,523.7696533203125,0.9999998807907104,614.4312133789062,636.7312622070312,0.9999997615814209
85,614.8194580078125,486.8218688964844,1.0,600.8886108398438,518.295654296875,0.9999995231628418,625.960205078125,515.6548461914062,1.0,611.0712280273438,627.2103271484375,1.0
86,614.2018432617188,479.6736755371094,1.0,597.9410400390625,510.3555603027344,0.9999998807907104,623.1190185546875,508.6856689453125,0.9999996423721313,610.0767822265625,621.5984497070312,0.9999998807907104
87,614.8539428710938,471.4939880371094,1.0,596.421630859375,501.0953674316406,1.0,622.2550659179688,501.92913818359375,0.9999995231628418,609.6062622070312,615.1173706054688,0.9999998807907104
88,613.8796997070312,462.3302001953125,0.9999998807907104,595.8248291015625,493.3402099609375,0.9999997615814209,620.9652709960938,493.4600524902344,0.9999995231628418,607.598388671875,606.7062377929688,0.9999997615814209
89,616.1224365234375,454.1048889160156,1.0,596.4739990234375,481.9703674316406,1.0,621.1260986328125,484.5711975097656,0.9999998807907104,605.9116821289062,597.5604858398438,0.9999994039535522
90,614.7979736328125,443.64703369140625,0.9999998807907104,594.1179809570312,473.19677734375,0.9999998807907104,620.8086547851562,476.3000793457031,0.9999994039535522,604.3045043945312,586.4488525390625,0.9999843835830688
91,613.9280395507812,433.8452453613281,1.0,594.0838623046875,463.746826171875,1.0,619.3682250976562,464.834228515625,0.9999998807907104,601.0877075195312,577.70849609375,0.9999997615814209
92,612.7311401367188,426.4397277832031,1.0,594.668701171875,453.9393310546875,0.9999998807907104,619.1973876953125,454.2299499511719,0.9999992847442627,599.7688598632812,570.0432739257812,0.9999977350234985
93,612.5974731445312,417.4020080566406,1.0,594.1507568359375,446.3610534667969,0.9999998807907104,619.3538818359375,445.68682861328125,0.9999997615814209,600.7044067382812,558.3848876953125,0.9999996423721313
94,608.93212890625,410.3034973144531,0.9999997615814209,594.365234375,436.67901611328125,0.9999998807907104,617.5045166015625,435.64447021484375,0.9999990463256836,598.5650634765625,550.2742919921875,1.0
95,607.2857666015625,403.2812194824219,0.9999998807907104,593.0958251953125,429.7261047363281,0.9999995231628418,617.3331909179688,428.94158935546875,0.9999986886978149,597.038330078125,541.3867797851562,0.9999998807907104
96,605.88671875,392.8877258300781,0.9999986886978149,591.1727905273438,420.0732421875,0.9999997615814209,614.12939453125,418.92706298828125,0.9999998807907104,597.126953125,529.80078125,1.0
97,606.9432373046875,382.16583251953125,0.9999991655349731,589.5055541992188,410.54669189453125,0.9999966621398926,613.8682250976562,411.46221923828125,0.9999998807907104,595.9302368164062,520.7844848632812,0.9999998807907104
98,605.874267578125,374.609375,0.9999998807907104,588.9307250976562,401.94305419921875,0.9999998807907104,613.4130249023438,402.50567626953125,1.0,595.9985961914062,513.0337524414062,1.0
99,604.3861694335938,363.9057922363281,0.9999983310699463,587.9786987304688,393.36181640625,0.9999995231628418,612.2877807617188,393.1185302734375,0.9999998807907104,596.1741333007812,504.40472412109375,0.9999998807907104
100,604.1474609375,355.71502685546875,1.0,585.8595581054688,383.05010986328125,0.9999994039535522,611.30810546875,384.9127502441406,1.0,594.9155883789062,493.6852111816406,1.0
101,602.4276123046875,347.4343566894531,0.9999984502792358,584.8834228515625,373.1454162597656,0.9999996423721313,608.4920043945312,373.3338928222656,0.9999998807907104,595.19384765625,484.93267822265625,1.0
102,599.8255615234375,336.9281311035156,1.0,582.6669311523438,364.5134582519531,0.9999995231628418,607.0389404296875,364.0718688964844,0.9999994039535522,593.3246459960938,477.667236328125,0.9999997615814209
103,598.4413452148438,330.522705078125,0.9999997615814209,582.9970092773438,354.44525146484375,0.9999998807907104,606.8863525390625,353.68267822265625,0.9999996423721313,593.5784301757812,465.325927734375,1.0
